,Arcade and Action,Books and Reference,Brain and Puzzle,Business,Cards and Casino,Casual,Comics,Communication,Education,Entertainment,Finance,Health and Fitness,Libraries and Demo,Lifestyle,Media and Video,Medical,Music and Audio,News and Magazines,Personalization,Photography,Productivity,Racing,Shopping,Social,Sports,Sports Games,Tools,Transportation,Travel and Local,Weather
Arcade and Action,415,3,31,1,10,99,1,0,2,6,0,1,1,7,0,1,1,0,12,2,0,35,1,1,2,33,4,1,1,0
Books and Reference,4,403,4,16,1,3,6,13,71,11,2,17,8,71,3,8,12,4,3,4,13,1,4,17,2,1,11,5,11,1
Brain and Puzzle,38,10,476,2,23,70,0,0,38,6,0,2,1,1,1,1,7,0,2,3,0,6,0,0,0,10,1,0,1,0
Business,0,11,3,308,0,0,0,33,12,2,62,3,10,27,15,2,4,17,2,4,50,0,38,14,0,0,31,19,17,0
Cards and Casino,12,0,28,0,607,15,0,0,2,7,1,1,2,9,1,0,1,0,3,0,1,3,1,0,4,4,1,0,0,0
Casual,97,1,91,1,19,348,4,1,22,34,1,4,2,14,1,3,14,0,18,3,0,13,1,4,2,21,4,3,0,0
Comics,7,34,3,0,0,4,132,2,3,26,0,1,2,22,4,1,7,7,62,15,4,0,0,9,0,0,11,1,1,1
Communication,0,9,0,32,0,0,0,415,5,9,3,2,11,9,10,0,12,6,33,4,31,0,6,52,0,0,53,2,11,1
Education,1,92,41,7,1,14,3,4,417,18,5,10,5,41,10,7,13,12,2,4,12,1,0,4,2,1,8,2,4,2
Entertainment,9,9,12,6,8,25,10,16,19,183,0,5,2,45,94,1,61,8,41,64,4,3,2,24,8,3,22,2,3,3
Finance,0,1,0,38,2,0,0,1,1,1,588,4,0,12,0,1,0,6,1,0,5,0,15,1,1,0,8,11,4,1
Health and Fitness,2,11,2,7,0,6,0,4,6,7,3,486,2,56,3,71,24,8,1,2,2,0,6,11,10,1,17,8,8,2
Libraries and Demo,0,25,10,12,2,4,0,16,5,20,4,2,200,18,6,2,14,1,28,26,14,1,2,7,0,1,44,4,9,2
Lifestyle,0,65,1,20,5,9,3,17,14,30,7,36,7,208,7,1,17,12,20,22,24,0,75,40,8,1,39,14,22,2
Media and Video,2,5,1,6,0,1,2,6,6,49,0,1,11,12,407,1,87,11,17,64,9,0,2,9,4,0,24,1,0,0
Medical,0,13,3,9,4,2,1,3,23,9,5,73,2,22,1,448,7,12,1,0,4,0,2,3,1,0,6,0,3,0
Music and Audio,3,16,1,2,0,0,0,4,6,32,1,7,5,21,32,0,547,8,5,0,7,0,1,4,6,0,16,1,0,0
News and Magazines,2,12,0,13,1,1,0,3,3,7,4,2,3,15,6,2,10,553,2,2,4,0,1,11,16,0,5,5,4,23
Personalization,2,2,0,1,0,2,5,6,0,30,0,2,1,7,1,1,17,2,568,17,9,1,2,1,1,0,28,2,0,7
Photography,1,3,3,1,0,1,2,0,1,26,1,0,5,16,23,0,0,2,31,575,4,1,1,18,0,0,9,2,2,1
Productivity,0,11,1,52,0,1,4,54,8,9,10,8,9,27,19,1,10,0,30,10,222,2,16,15,1,0,121,3,6,6
Racing,63,2,16,0,2,16,0,1,1,10,1,1,2,3,0,0,1,0,19,1,0,492,1,1,3,12,1,4,1,0
Shopping,0,3,2,28,2,2,0,5,2,3,20,1,4,48,3,1,0,8,0,6,5,1,541,12,0,0,6,9,11,0
Social,1,15,3,14,3,4,5,60,14,15,1,3,5,45,10,4,5,19,12,38,10,0,7,394,3,1,15,6,11,3
Sports,1,4,3,6,8,5,1,3,8,8,0,21,0,16,11,0,6,36,27,4,3,7,2,7,376,13,11,10,17,7
Sports Games,60,1,11,1,11,29,0,0,0,7,1,3,1,6,0,0,3,1,9,0,1,18,1,0,23,244,1,0,0,0
Tools,1,11,4,18,0,2,0,65,3,6,16,4,26,25,29,1,9,4,30,10,96,0,7,5,4,0,308,10,11,4
Transportation,0,7,0,20,0,1,0,10,3,2,8,2,1,12,3,1,2,4,1,3,4,4,2,4,3,0,12,485,118,4
Travel and Local,0,20,1,12,2,1,1,14,8,3,8,1,1,29,2,0,2,3,1,2,2,0,12,12,1,0,9,143,414,9
Weather,0,2,0,2,0,0,0,0,0,2,2,2,2,18,0,0,0,4,10,4,3,0,2,1,2,0,9,3,16,400
